DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2015-0217-GHA,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GHA,Ghana,Sub-Saharan Africa,Africa,"Accra Metropolis, Ledzokuku / Krowor, La Nkwantanang Madina, La Dade Kotopon, Shai Osu Doku, Kpone Katamanso, Ningo Prampram, Ada West, Ada East districts (Greater Accra province)",No,No,No,,266950.1,Km2,7.38005,-0.55,,2015.0,6.0,2.0,2015.0,6.0,15.0,5000.0,15427.0,,
2015-0227-GEO,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GEO,Georgia,Western Asia,Asia,"Vake and Saburtalo boroughs (Tbilissi district, Tbilisi province)",No,No,No,,13022.99,Km2,42.0683,44.54,"Vere, Mtkvari rivers",2015.0,6.0,7.0,2015.0,6.0,15.0,10320.0,29568.0,,
2015-0249-IND,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",No,No,No,,43781.56,Km2,21.8734,70.76,,2015.0,6.0,19.0,2015.0,6.0,20.0,9000.0,776484.0,,
2015-0256-NZL,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,NZL,New Zealand,Australia and New Zealand,Oceania,"Horowhenua, Manawatu, Rangitikei, Whanganui areas (Wanganui-manawatu province), Taranaki province",No,No,No,,8948.6,Km2,-39.8648,175.23,,2015.0,6.0,22.0,2015.0,6.0,29.0,400.0,219832.0,,
2015-0271-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Xilkiqi village (Pishan area, Khotan district, Xinjiang Uygur Zizhiqu province)",No,No,No,,6.4,Moment Magnitude,37.4593,78.1542,,2015.0,7.0,3.0,2015.0,7.0,3.0,3048.0,4114.0,,
2015-0292-VNM,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ninh province,No,No,No,,24336.74,Km2,20.8137,106.86,,2015.0,7.0,25.0,2015.0,8.0,5.0,15000.0,262256.0,,
2015-0308-MMR,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,MMR,Myanmar,South-eastern Asia,Asia,"Mandalay, Rakhine, Chin, Sagaing, Kachin, Kayin, Shan (E), Magway, Mon, Ayeyarwady, Bago (West) provinces",Yes,Yes,No,50.0,26424.0,Km2,20.175,95.53,Irrawaddy,2015.0,7.0,15.0,2015.0,8.0,19.0,1621703.0,152983.0,,
2015-0318-MKD,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,MKD,North Macedonia,Southern Europe,Europe,"Sipkotvitsa, Dzepciste district (Tetovo province); Mala Rechitsa, Golema Rechitsa, Poroj villages, Tetovo city (Tetovo district, Tetovo province)",No,No,No,,5957.41,Km2,41.7575,21.19,Pena river,2015.0,8.0,3.0,2015.0,8.0,5.0,5030.0,111845.0,,
2015-0435-CHL,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,CHL,Chile,Latin America and the Caribbean,Americas,"Araucania, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O’Higgins, Maule, Metropolitana, Valparaiso provinces",No,No,Yes,,8.3,Moment Magnitude,-31.5729,-71.6744,,2015.0,9.0,16.0,2015.0,9.0,16.0,681499.0,1028455.0,,
2015-0444-GTM,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GTM,Guatemala,Latin America and the Caribbean,Americas,"El Cambray III village (Santa Catarina Pinula district, Guatemala province)",Yes,No,No,,,,14.826,-90.613,,2015.0,10.0,2.0,2015.0,10.0,3.0,1112.0,6428.0,,
